directory,avg_psnr,avg_ssim,avg_tv,avg_brisque,avg_clip_iqa,size_mb,duration_s,bitrate_kbps
/home/tpei0009/MMNet/samm/006/006_1_2,38.686201614018124,0.8990026260254739,20.400011841679962,17.090258960992518,0.3327313804290664,21.464329719543457,2.84,63399.946478873244
/home/tpei0009/MMNet/samm/006/006_1_3,38.77331743038216,0.8989295349717343,20.421464969585468,16.734664322493913,0.338143103695535,23.29054069519043,3.08,63433.511688311686
/home/tpei0009/MMNet/samm/006/006_1_4,38.70563257033557,0.8992280062036652,20.36609332561493,16.997177124023438,0.3392270848155022,24.162074089050293,3.2,63339.4275
/home/tpei0009/MMNet/samm/006/006_1_5,38.702038459758604,0.898965353379765,20.46663726248392,16.978971900009526,0.3308981304488531,24.814741134643555,3.28,63463.76097560976
/home/tpei0009/MMNet/samm/006/006_1_6,38.745335802891006,0.8990831151100058,20.335006427764892,16.856997680664062,0.33372521519660947,30.214673042297363,4.0,63364.762
/home/tpei0009/MMNet/samm/006/006_2_4,38.72651395503853,0.8980416378710935,20.195882917705337,16.631100945723684,0.3410256969301324,28.650447845458984,3.8,63246.67789473685
/home/tpei0009/MMNet/samm/006/006_3_4,38.71910755273185,0.8986020352113158,20.240620613098145,16.60075283050537,0.3284916947595775,19.31216049194336,2.56,63282.0875
/home/tpei0009/MMNet/samm/006/006_3_5,38.67588223382703,0.8976811284628738,19.968942151750838,16.020615931919643,0.31907970777579714,21.031330108642578,2.8,63008.42285714286
/home/tpei0009/MMNet/samm/006/006_5_10,38.85974650364092,0.899340623553843,19.796666447120376,16.84994699985166,0.3050672445870653,23.664440155029297,3.16,62820.16202531645
/home/tpei0009/MMNet/samm/006/006_5_11,38.803863588985614,0.8990665607576629,19.810974809312327,16.62928252859214,0.3251020561174019,29.04792594909668,3.88,62801.97525773196
/home/tpei0009/MMNet/samm/006/006_5_9,38.80413174176748,0.8996977192515041,19.798845818702212,16.942078286028924,0.3151173417238479,28.145575523376465,3.76,62793.13829787234
/home/tpei0009/MMNet/samm/007/007_3_1,38.64679431557981,0.896650831096631,23.536813279856805,15.42954685377038,0.4016663872677347,14.50413703918457,1.84,66124.73913043478
/home/tpei0009/MMNet/samm/007/007_4_2,38.6350410861897,0.8970571014636916,23.359689121246337,15.248324584960937,0.41068955838680266,31.44145679473877,4.0,65937.514
