directory,avg_psnr,avg_ssim,avg_tv,avg_brisque,avg_clip_iqa,size_mb,duration_s,bitrate_kbps
/home/tpei0009/MMNet/smic/s1/s1_ne_01,38.18807616122974,0.9577629420679294,12.479548142751058,40.1192665608724,0.3165861044824123,7.0793609619140625,12.0,4948.832
/home/tpei0009/MMNet/smic/s1/s1_ne_03,39.006894924731476,0.9577108641860528,12.536901339122227,40.06288896833147,0.3050167625716754,16.456961631774902,28.0,4930.392857142857
/home/tpei0009/MMNet/smic/s1/s1_po_01,39.19597469924738,0.958400358052261,12.822247708184378,39.33902544294085,0.29815920295459886,16.50560474395752,28.0,4944.966
/home/tpei0009/MMNet/smic/s1/s1_po_02,39.22214438471521,0.9582701385306469,12.871885901859828,39.523143746512275,0.2844543567938464,16.495173454284668,28.0,4941.840857142857
/home/tpei0009/MMNet/smic/s1/s1_sur_01,38.25051088786338,0.9585755497925522,12.98187222480774,39.260348307291665,0.28888521385689575,14.681781768798828,24.0,5131.654666666667
/home/tpei0009/MMNet/smic/s11/s11_ne_01,39.56614308274943,0.9447442427573967,15.987011954784393,33.32278498331706,0.2728422681863109,35.535980224609375,48.0,6210.362666666667
/home/tpei0009/MMNet/smic/s11/s11_ne_02,38.893918431790844,0.9436053647075521,16.529305839538573,32.149940490722656,0.3070372898876667,12.129607200622559,16.0,6359.4075
/home/tpei0009/MMNet/smic/s11/s11_ne_03,39.027103004347694,0.9439295645392282,16.542710993289948,32.543149642944336,0.3249793703854084,24.24750804901123,32.0,6356.33875
/home/tpei0009/MMNet/smic/s11/s11_po_01,39.26268422524835,0.9430803758319866,16.665718898773193,30.979198608398438,0.3513111054897308,6.131217002868652,8.0,6429.047
/home/tpei0009/MMNet/smic/s11/s11_po_02,38.77248213143921,0.9437505018897646,16.498044471740723,32.155226440429686,0.33048243924975396,6.072702407836914,8.0,6367.69
/home/tpei0009/MMNet/smic/s11/s11_po_03,38.66043888222826,0.9441906155566346,16.5875950050354,31.947188720703124,0.3313139505684376,6.094154357910156,8.0,6390.184
/home/tpei0009/MMNet/smic/s11/s11_sur_01,38.80500437491314,0.943245618043415,16.99542004585266,31.533670043945314,0.3111955685168505,6.181919097900391,8.0,6482.212
/home/tpei0009/MMNet/smic/s12/s12_po_01,40.00795355768112,0.946337135817101,15.437478731870652,34.161981430053714,0.14293235816061498,22.25369358062744,32.0,5833.67225
/home/tpei0009/MMNet/smic/s12/s12_po_02,40.02312859984159,0.9464159899883796,15.511924089590709,34.10555857340495,0.15630978935708603,33.538387298583984,48.0,5861.258
/home/tpei0009/MMNet/smic/s12/s12_po_03,40.05790002709681,0.9465656128096055,15.504149150848388,34.07910883585612,0.163738699691991,33.44314384460449,48.0,5844.613
/home/tpei0009/MMNet/smic/s12/s12_po_04,40.198100781910526,0.9469634638855444,15.670578694343567,34.6962739054362,0.16306766335542003,33.8032169342041,48.0,5907.540333333333
/home/tpei0009/MMNet/smic/s12/s12_po_05,40.21778762871405,0.9472841850285237,15.675955488681794,34.83561553955078,0.16816760547459125,11.256908416748047,16.0,5901.862
/home/tpei0009/MMNet/smic/s12/s12_po_06,40.130126877218885,0.9471308513151037,15.69488493045171,34.819584350585934,0.15982533649230996,33.9008674621582,48.0,5924.606
/home/tpei0009/MMNet/smic/s12/s12_po_07,39.95178477073272,0.9460675224239727,15.709064129590988,34.31159736633301,0.16996520513668656,22.64945697784424,32.0,5937.41925
/home/tpei0009/MMNet/smic/s12/s12_po_08,39.87097312868445,0.9463770243953704,15.72519447297761,34.5079560250947,0.17854901965368877,18.742417335510254,26.4,5955.408787878788
/home/tpei0009/MMNet/smic/s12/s12_sur_01,40.11889871116305,0.9473247942771542,15.455598123073578,34.15206008911133,0.17063005439937115,33.09925365447998,48.0,5784.513833333333
/home/tpei0009/MMNet/smic/s13/s13_po_01,39.544983026047746,0.9418737008363983,15.069080431644734,30.128829721304086,0.2448225993376512,15.109338760375977,20.8,6093.573076923077
/home/tpei0009/MMNet/smic/s13/s13_po_02,39.52907966059611,0.9417318103277142,15.172673053741455,30.02098419189453,0.2548438855260611,5.822328567504883,8.0,6105.154
/home/tpei0009/MMNet/smic/s13/s13_po_03,39.524907014389875,0.9417054992438608,15.22520808922617,29.8326734844007,0.26971338816771384,22.18791103363037,30.4,6122.555526315789
/home/tpei0009/MMNet/smic/s13/s13_po_04,39.49499839093905,0.9418926424381087,15.246770057678223,29.817795715332032,0.27887326024472714,5.838661193847656,8.0,6122.28
/home/tpei0009/MMNet/smic/s13/s13_po_05,39.53191179941619,0.9418840062410607,15.235479604403178,29.58019327799479,0.2722150667756796,17.515028953552246,24.0,6121.946333333333
/home/tpei0009/MMNet/smic/s13/s13_po_06,39.63196487518517,0.9416738898029391,15.126089406013488,29.913804626464845,0.2908884517103434,5.8306427001953125,8.0,6113.872
/home/tpei0009/MMNet/smic/s13/s13_po_07,39.66864905028491,0.9416712730103023,15.149516752958299,29.746175842285155,0.27997083799913525,23.304240226745605,32.0,6109.06675
/home/tpei0009/MMNet/smic/s13/s13_po_08,39.66332738404291,0.9416469740101526,15.141923796335856,29.706199086507162,0.27962150171399114,34.9097261428833,48.0,6100.916833333333
/home/tpei0009/MMNet/smic/s13/s13_po_09,39.80713001241242,0.9417355122113356,15.17448940873146,30.096164321899415,0.2523313521593809,23.36748504638672,32.0,6125.646
/home/tpei0009/MMNet/smic/s13/s13_po_10,39.8090489025077,0.941670974049952,15.17463921546936,30.289271138509115,0.2554424665744106,35.01071643829346,48.0,6118.566166666667
